Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, F7/theta, F7/alpha, F7/betaL, F7/betaH, F7/gamma, F3/theta, F3/alpha, F3/betaL, F3/betaH, F3/gamma, FC5/theta, FC5/alpha, FC5/betaL, FC5/betaH, FC5/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, P7/theta, P7/alpha, P7/betaL, P7/betaH, P7/gamma, O1/theta, O1/alpha, O1/betaL, O1/betaH, O1/gamma, O2/theta, O2/alpha, O2/betaL, O2/betaH, O2/gamma, P8/theta, P8/alpha, P8/betaL, P8/betaH, P8/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, FC6/theta, FC6/alpha, FC6/betaL, FC6/betaH, FC6/gamma, F4/theta, F4/alpha, F4/betaL, F4/betaH, F4/gamma, F8/theta, F8/alpha, F8/betaL, F8/betaH, F8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1572913190.1419, 5.119, 1.083, 1.185, 0.631, 0.324, 7.154, 1.74, 1.087, 0.627, 0.366, 4.604, 1.145, 0.974, 0.473, 0.274, 5.415, 0.933, 0.654, 0.433, 0.207, 3.628, 1.168, 0.678, 0.517, 0.258, 2.653, 1.584, 0.737, 0.346, 0.213, 5.703, 2.988, 1.297, 0.443, 0.205, 7.895, 4.456, 1.928, 0.689, 0.455, 3.76, 1.764, 1.276, 0.674, 0.589, 4.672, 1.407, 1.254, 0.439, 0.301, 3.198, 1.25, 0.886, 0.391, 0.243, 4.371, 1.371, 1.185, 0.392, 0.23, 4.135, 1.28, 0.762, 0.475, 0.279, 5.587, 1.221, 1.13, 0.555, 0.304
1572913190.2665, 6.356, 2.253, 1.436, 0.778, 0.333, 8.18, 2.984, 1.319, 0.813, 0.393, 6.274, 2.047, 1.205, 0.577, 0.288, 6.631, 1.726, 0.944, 0.601, 0.228, 5.132, 1.844, 1.018, 0.647, 0.287, 3.842, 1.929, 0.968, 0.44, 0.229, 7.231, 3.286, 1.707, 0.504, 0.227, 9.085, 4.611, 2.388, 0.744, 0.503, 4.522, 1.934, 1.463, 0.693, 0.628, 6.428, 1.842, 1.519, 0.578, 0.304, 4.723, 1.734, 1.116, 0.525, 0.276, 6.351, 1.882, 1.393, 0.483, 0.259, 5.877, 1.921, 0.899, 0.596, 0.301, 7.613, 2.197, 1.371, 0.747, 0.317
1572913190.3917, 8.669, 4.095, 1.848, 1.011, 0.347, 10.113, 5.113, 1.759, 1.089, 0.423, 9.134, 3.575, 1.568, 0.767, 0.301, 8.673, 3.084, 1.406, 0.864, 0.258, 7.533, 3.027, 1.536, 0.852, 0.358, 6.06, 2.748, 1.431, 0.624, 0.261, 10.069, 3.914, 2.421, 0.626, 0.267, 11.43, 5.249, 3.126, 0.824, 0.552, 5.791, 2.424, 1.816, 0.721, 0.655, 8.961, 2.858, 1.975, 0.795, 0.331, 6.946, 2.655, 1.489, 0.716, 0.323, 9.516, 2.809, 1.73, 0.647, 0.291, 8.119, 3.1, 1.227, 0.774, 0.335, 10.796, 3.767, 1.774, 1.037, 0.337
1572913190.5165, 11.9, 6.338, 2.315, 1.288, 0.363, 12.736, 7.823, 2.29, 1.401, 0.447, 12.947, 5.479, 1.984, 1.004, 0.313, 11.384, 4.801, 1.936, 1.164, 0.288, 10.652, 4.603, 2.132, 1.092, 0.459, 9.269, 3.974, 2.022, 0.86, 0.308, 13.962, 4.812, 3.271, 0.786, 0.321, 14.685, 6.305, 3.983, 0.922, 0.596, 7.388, 3.186, 2.263, 0.751, 0.672, 11.842, 4.358, 2.519, 1.048, 0.376, 9.432, 3.893, 1.922, 0.931, 0.378, 13.386, 4.017, 2.118, 0.857, 0.32, 10.416, 4.642, 1.666, 0.979, 0.371, 14.494, 5.698, 2.247, 1.375, 0.362
1572913190.6407, 14.868, 8.503, 2.679, 1.526, 0.376, 15.055, 10.443, 2.722, 1.664, 0.453, 16.355, 7.31, 2.317, 1.213, 0.32, 13.851, 6.457, 2.369, 1.411, 0.308, 13.46, 6.222, 2.651, 1.301, 0.56, 12.215, 5.298, 2.553, 1.075, 0.356, 17.502, 5.707, 3.96, 0.929, 0.375, 17.722, 7.416, 4.656, 1.009, 0.626, 8.809, 3.996, 2.639, 0.77, 0.677, 14.286, 5.977, 2.96, 1.265, 0.421, 11.524, 5.142, 2.275, 1.111, 0.423, 16.78, 5.212, 2.422, 1.053, 0.34, 12.191, 6.16, 2.063, 1.15, 0.396, 17.634, 7.57, 2.626, 1.672, 0.382
1572913190.7661, 16.707, 9.989, 2.776, 1.645, 0.375, 16.279, 12.172, 2.877, 1.794, 0.436, 18.351, 8.545, 2.423, 1.316, 0.317, 15.23, 7.544, 2.543, 1.527, 0.311, 15.161, 7.426, 2.926, 1.414, 0.628, 14.165, 6.289, 2.829, 1.19, 0.388, 19.515, 6.232, 4.202, 0.998, 0.409, 19.406, 8.075, 4.835, 1.043, 0.635, 9.496, 4.543, 2.761, 0.764, 0.673, 15.398, 7.222, 3.105, 1.376, 0.444, 12.437, 6.009, 2.401, 1.196, 0.442, 18.555, 6.022, 2.487, 1.167, 0.344, 12.811, 7.175, 2.251, 1.223, 0.4, 19.081, 8.846, 2.739, 1.83, 0.384
1572913190.8909, 16.553, 10.381, 2.547, 1.602, 0.357, 15.803, 12.45, 2.682, 1.75, 0.394, 17.991, 8.837, 2.249, 1.272, 0.303, 14.857, 7.722, 2.393, 1.471, 0.295, 15.052, 7.838, 2.862, 1.392, 0.638, 14.176, 6.588, 2.757, 1.159, 0.389, 19.041, 6.119, 3.886, 0.96, 0.41, 18.841, 7.943, 4.41, 0.996, 0.616, 9.142, 4.613, 2.554, 0.722, 0.655, 14.806, 7.696, 2.885, 1.347, 0.432, 11.946, 6.205, 2.241, 1.154, 0.426, 18.034, 6.194, 2.26, 1.161, 0.328, 12.148, 7.361, 2.149, 1.164, 0.378, 18.478, 9.158, 2.517, 1.798, 0.363
1572913191.0158, 14.356, 9.622, 2.057, 1.407, 0.325, 13.734, 11.243, 2.187, 1.544, 0.336, 15.29, 8.154, 1.834, 1.093, 0.279, 12.646, 6.969, 1.964, 1.258, 0.265, 13.07, 7.331, 2.469, 1.237, 0.588, 12.278, 6.077, 2.369, 0.996, 0.356, 16.069, 5.327, 3.101, 0.825, 0.376, 15.995, 6.994, 3.488, 0.868, 0.571, 7.689, 4.168, 2.066, 0.648, 0.624, 12.398, 7.259, 2.366, 1.19, 0.386, 9.973, 5.662, 1.837, 0.999, 0.377, 15.207, 5.679, 1.796, 1.04, 0.295, 10.115, 6.671, 1.793, 0.984, 0.338, 15.67, 8.446, 2.021, 1.586, 0.319
1572913191.1412, 11.102, 8.015, 1.498, 1.12, 0.287, 10.686, 8.991, 1.569, 1.238, 0.275, 11.4, 6.76, 1.325, 0.84, 0.251, 9.473, 5.562, 1.42, 0.954, 0.229, 10.003, 6.078, 1.873, 0.994, 0.499, 9.209, 4.939, 1.814, 0.758, 0.301, 11.758, 4.083, 2.123, 0.639, 0.318, 11.875, 5.525, 2.374, 0.699, 0.509, 5.715, 3.369, 1.459, 0.558, 0.582, 9.14, 6.092, 1.726, 0.966, 0.321, 7.366, 4.566, 1.336, 0.787, 0.311, 11.248, 4.655, 1.263, 0.853, 0.256, 7.532, 5.356, 1.327, 0.746, 0.293, 11.999, 6.973, 1.449, 1.269, 0.266
1572913191.266, 7.583, 6.07, 1.074, 0.823, 0.251, 7.419, 6.372, 1.02, 0.916, 0.223, 7.297, 5.112, 0.889, 0.592, 0.222, 6.091, 3.954, 0.942, 0.647, 0.197, 6.657, 4.485, 1.246, 0.731, 0.401, 5.914, 3.575, 1.261, 0.522, 0.241, 7.304, 2.764, 1.245, 0.467, 0.254, 7.685, 3.97, 1.39, 0.542, 0.447, 3.716, 2.467, 0.912, 0.481, 0.533, 5.789, 4.587, 1.161, 0.757, 0.259, 4.707, 3.264, 0.9, 0.59, 0.249, 7.152, 3.44, 0.842, 0.664, 0.221, 4.861, 3.837, 0.91, 0.528, 0.257, 8.197, 5.208, 1.012, 0.953, 0.216
1572913191.3907, 4.998, 4.245, 0.899, 0.587, 0.224, 4.755, 4.039, 0.67, 0.652, 0.187, 4.282, 3.614, 0.639, 0.413, 0.196, 3.544, 2.569, 0.654, 0.411, 0.174, 4.011, 3.003, 0.746, 0.514, 0.32, 3.387, 2.401, 0.83, 0.349, 0.193, 4.015, 1.698, 0.66, 0.353, 0.204, 4.58, 2.679, 0.754, 0.441, 0.398, 2.277, 1.69, 0.552, 0.437, 0.49, 3.326, 3.148, 0.797, 0.62, 0.219, 2.812, 2.083, 0.638, 0.463, 0.207, 4.166, 2.328, 0.641, 0.524, 0.198, 2.925, 2.483, 0.663, 0.393, 0.24, 5.524, 3.571, 0.838, 0.722, 0.182
1572913191.5153, 3.375, 2.832, 0.948, 0.437, 0.204, 3.064, 2.399, 0.54, 0.479, 0.167, 2.439, 2.499, 0.587, 0.321, 0.175, 1.979, 1.654, 0.573, 0.277, 0.158, 2.29, 1.951, 0.442, 0.377, 0.267, 1.873, 1.667, 0.555, 0.259, 0.164, 2.13, 1.056, 0.388, 0.312, 0.174, 2.844, 1.836, 0.501, 0.415, 0.372, 1.476, 1.16, 0.393, 0.434, 0.466, 1.881, 2.057, 0.651, 0.567, 0.207, 1.731, 1.242, 0.576, 0.419, 0.192, 2.394, 1.502, 0.645, 0.446, 0.188, 1.796, 1.527, 0.627, 0.361, 0.241, 3.922, 2.35, 0.917, 0.604, 0.165
1572913191.6402, 2.943, 1.906, 1.078, 0.357, 0.189, 2.351, 1.525, 0.547, 0.387, 0.154, 1.781, 1.789, 0.645, 0.294, 0.156, 1.355, 1.203, 0.606, 0.229, 0.144, 1.47, 1.402, 0.301, 0.318, 0.236, 1.3, 1.376, 0.391, 0.233, 0.152, 1.476, 0.806, 0.309, 0.32, 0.162, 2.313, 1.433, 0.516, 0.447, 0.372, 1.216, 0.864, 0.363, 0.46, 0.469, 1.352, 1.377, 0.636, 0.566, 0.217, 1.477, 0.789, 0.654, 0.433, 0.195, 1.813, 0.993, 0.739, 0.41, 0.186, 1.705, 1.035, 0.763, 0.409, 0.257, 3.61, 1.634, 1.115, 0.57, 0.162
1572913191.7644, 3.128, 1.356, 1.144, 0.308, 0.175, 2.407, 1.224, 0.585, 0.341, 0.143, 1.653, 1.353, 0.694, 0.29, 0.139, 1.183, 1.048, 0.636, 0.222, 0.131, 1.142, 1.211, 0.249, 0.303, 0.216, 1.154, 1.339, 0.281, 0.229, 0.15, 1.36, 0.772, 0.29, 0.335, 0.163, 2.381, 1.324, 0.658, 0.502, 0.394, 1.175, 0.701, 0.367, 0.495, 0.499, 1.287, 1.021, 0.642, 0.568, 0.239, 1.742, 0.635, 0.775, 0.46, 0.207, 1.826, 0.707, 0.797, 0.38, 0.184, 2.482, 0.928, 0.974, 0.495, 0.281, 4.24, 1.335, 1.278, 0.563, 0.166
1572913191.8897, 3.663, 1.032, 1.089, 0.27, 0.166, 2.958, 1.235, 0.611, 0.313, 0.13, 1.734, 1.044, 0.676, 0.281, 0.125, 1.174, 1.006, 0.601, 0.219, 0.118, 1.024, 1.171, 0.227, 0.302, 0.198, 1.115, 1.337, 0.199, 0.221, 0.153, 1.312, 0.783, 0.266, 0.327, 0.172, 2.766, 1.341, 0.838, 0.549, 0.429, 1.145, 0.574, 0.354, 0.522, 0.547, 1.349, 0.87, 0.629, 0.551, 0.268, 2.269, 0.668, 0.88, 0.473, 